model,candidate,validation_n,validation_roc_auc,validation_brier,validation_ece,selected,feature_set
Logistic Regression,C=0.25,11536,0.8316417341998804,0.17634650715391484,0.2761951956248217,True,model_a_screening
Logistic Regression,C=1.0,11536,0.8316372512870629,0.1763458649682654,0.27613786835317256,False,model_a_screening
Logistic Regression,C=4.0,11536,0.8316337957084328,0.1763456773013427,0.27612346900072354,False,model_a_screening
Random Forest,depth=8_leaf=5,11536,0.8292872243335496,0.16820913440602916,0.26953171228346956,True,model_a_screening
Random Forest,depth=10_leaf=5,11536,0.8236361858481167,0.15771478909936065,0.24576286871599157,False,model_a_screening
Random Forest,depth=none_leaf=10,11536,0.8129056335644649,0.13830109242869387,0.19793585272768155,False,model_a_screening
XGBoost,depth=3_lr=0.05,11536,0.8335969846434086,0.06834947317838669,0.002919185907266737,True,model_a_screening
XGBoost,depth=5_lr=0.05,11536,0.8303039116029364,0.06895286589860916,0.0058549733765128,False,model_a_screening
XGBoost,depth=5_lr=0.03,11536,0.8321272429974099,0.06864526122808456,0.004332457952048204,False,model_a_screening
LightGBM,leaves=15_lr=0.05,11536,0.830318294281559,0.17108089609112107,0.25815320401290737,True,model_a_screening
LightGBM,leaves=31_lr=0.05,11536,0.8252818818221994,0.16605712469053507,0.24459446653080447,False,model_a_screening
LightGBM,leaves=31_lr=0.03,11536,0.8297854814144039,0.16969574476717392,0.25463452212387927,False,model_a_screening
CatBoost,depth=4_lr=0.05,11536,0.8344911389624523,0.06840895919932366,0.0033464901062287963,True,model_a_screening
CatBoost,depth=6_lr=0.05,11536,0.8327982790097693,0.0687978936840744,0.0039654811177057886,False,model_a_screening
CatBoost,depth=6_lr=0.03,11536,0.8343425490813577,0.06847515344225409,0.003031243645122326,False,model_a_screening
Logistic Regression,C=0.25,11536,0.9638394710013445,0.08011665334870702,0.13248400080396197,False,model_b_routine_clinical
Logistic Regression,C=1.0,11536,0.9638383502731401,0.08009328328550888,0.1322583782871025,False,model_b_routine_clinical
Logistic Regression,C=4.0,11536,0.9638394710013445,0.08009275911000258,0.1322071079287081,True,model_b_routine_clinical
Random Forest,depth=8_leaf=5,11536,0.9756521330633126,0.06638151805151475,0.15232063884468813,False,model_b_routine_clinical
Random Forest,depth=10_leaf=5,11536,0.9764594309465184,0.06009458448760784,0.12932426431058341,True,model_b_routine_clinical
Random Forest,depth=none_leaf=10,11536,0.976063720496363,0.04584785744436216,0.08459201373089813,False,model_b_routine_clinical
XGBoost,depth=3_lr=0.05,11536,0.9804773349531591,0.022393492981791496,0.0030086426420669046,True,model_b_routine_clinical
XGBoost,depth=5_lr=0.05,11536,0.9802131232789818,0.022608472034335136,0.0029208784275176524,False,model_b_routine_clinical
XGBoost,depth=5_lr=0.03,11536,0.9803701186216089,0.022455783560872078,0.003252698743703485,False,model_b_routine_clinical
LightGBM,leaves=15_lr=0.05,11536,0.9799130016052563,0.05398747892521893,0.08360545861154069,True,model_b_routine_clinical
LightGBM,leaves=31_lr=0.05,11536,0.9782681928743353,0.04802000912473572,0.06852662943407628,False,model_b_routine_clinical
LightGBM,leaves=31_lr=0.03,11536,0.9794958105311841,0.05236555719898588,0.079579831726348,False,model_b_routine_clinical
CatBoost,depth=4_lr=0.05,11536,0.9806274658355346,0.02242007785637576,0.0030907260116604033,False,model_b_routine_clinical
CatBoost,depth=6_lr=0.05,11536,0.9803525138493988,0.02260901222098106,0.0035862161315707657,False,model_b_routine_clinical
CatBoost,depth=6_lr=0.03,11536,0.980678272180799,0.022475473151502702,0.003625394289985926,True,model_b_routine_clinical
Logistic Regression,C=0.25,11536,0.9638394710013445,0.08011665334870703,0.13248400080396197,False,model_c_extended_transport
Logistic Regression,C=1.0,11536,0.9638383502731401,0.08009328328550887,0.1322583782871025,False,model_c_extended_transport
Logistic Regression,C=4.0,11536,0.9638394710013445,0.08009275911000258,0.13220710792870813,True,model_c_extended_transport
Random Forest,depth=8_leaf=5,11536,0.9752463827563265,0.06527022016511978,0.15002678227046964,False,model_c_extended_transport
Random Forest,depth=10_leaf=5,11536,0.9765871939618154,0.05985852375366958,0.12827720569923007,True,model_c_extended_transport
Random Forest,depth=none_leaf=10,11536,0.9760819323296839,0.04551720845457242,0.08357656729564973,False,model_c_extended_transport
XGBoost,depth=3_lr=0.05,11536,0.9805711959402741,0.02236240543425083,0.003133010254314472,True,model_c_extended_transport
XGBoost,depth=5_lr=0.05,11536,0.9801370071551024,0.022609876468777657,0.0031863003611876423,False,model_c_extended_transport
XGBoost,depth=5_lr=0.03,11536,0.9804237267873841,0.022487100213766098,0.003587181757754558,False,model_c_extended_transport
LightGBM,leaves=15_lr=0.05,11536,0.9799130016052563,0.05398747892521893,0.08360545861154069,True,model_c_extended_transport
LightGBM,leaves=31_lr=0.05,11536,0.9782681928743353,0.04802000912473572,0.06852662943407628,False,model_c_extended_transport
LightGBM,leaves=31_lr=0.03,11536,0.9794958105311841,0.05236555719898588,0.079579831726348,False,model_c_extended_transport
CatBoost,depth=4_lr=0.05,11536,0.9806274658355346,0.02242007785637576,0.0030907260116604033,False,model_c_extended_transport
CatBoost,depth=6_lr=0.05,11536,0.9803525138493988,0.02260901222098106,0.0035862161315707657,False,model_c_extended_transport
CatBoost,depth=6_lr=0.03,11536,0.980678272180799,0.022475473151502702,0.003625394289985926,True,model_c_extended_transport
