target_dataset,feature_set,model,scenario,calibration_method,conformal_method,marginal_coverage,coverage_bootstrap_mean,coverage_ci_low,coverage_ci_high,average_prediction_set_size,referral_rate,clinical_cost
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,source_split_conformal,0.7678883071553229,0.7675741710296684,0.7456151832460732,0.7919066317626526,1.4363001745200699,0.4363001745200698,1.1151832460732984
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,importance_weighted_source_conformal,0.7792321116928447,0.7788656195462478,0.756544502617801,0.8037085514834206,1.462478184991274,0.462478184991274,1.156195462478185
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,target_only_conformal,0.8961605584642234,0.8959802210587551,0.8786649214659685,0.9140706806282722,1.7216404886561956,0.7216404886561955,1.550610820244328
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,0.7731239092495636,0.7726178010471204,0.7486910994764397,0.7984293193717278,1.4546247818499127,0.45462478184991273,1.1465968586387434
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,weighted_target_dominant_atcp,0.8961605584642234,0.8959802210587551,0.8786649214659685,0.9140706806282722,1.7207678883071553,0.7207678883071553,1.5488656195462478
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,shift_aware_source_trust_atcp,0.8926701570680629,0.8924229203025014,0.8738874345549738,0.9110383944153577,1.7146596858638743,0.7146596858638743,1.5401396160558465
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,class_conditional_weighted_atcp,0.9101221640488656,0.9100610820244329,0.8926701570680629,0.9258289703315882,1.4904013961605584,0.49040139616055844,1.112565445026178
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,risk_asymmetric_shift_atcp,0.8891797556719022,0.8890779522978475,0.8708115183246073,0.9079624781849912,1.4738219895287958,0.4738219895287958,1.0898778359511343
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,dp_shift_atcp,0.8551483420593369,0.8552675974403722,0.8346204188481675,0.876178010471204,1.4144851657940662,0.4144851657940663,1.0157068062827226
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,safety_gated_atcp,0.8961605584642234,0.8959802210587551,0.8786649214659685,0.9140706806282722,1.7207678883071553,0.7207678883071553,1.5488656195462478
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,safety_gated_shift_atcp,0.8926701570680629,0.8924229203025014,0.8738874345549738,0.9110383944153577,1.7146596858638743,0.7146596858638743,1.5401396160558465
