target_dataset,method_label,conformal_method,mean_coverage,mean_class_1_coverage,mean_set_size,mean_referral_rate,mean_clinical_cost,mean_class_gap,coverage_error_from_90,mean_source_weight,fallback_rate
NHANES,Risk-asymmetric SHIFT,risk_asymmetric_shift_atcp,0.898327515997673,0.9403465346534652,1.285936591041303,0.2859365910413031,0.7156050029086678,0.0518046931811825,0.0016724840023270016,0.000326402672534,0.0
NHANES,DP-SHIFT,dp_shift_atcp,0.8851948807446189,0.908993399339934,1.2198225712623618,0.2198225712623618,0.6186154741128563,0.0449248685461766,0.014805119255381083,0.000326402672534,0.0
NHANES,Multi-objective DP-SHIFT,multi_objective_dp_shift_atcp,0.8918121000581734,0.804950495049505,1.183784176847004,0.1902995927865038,0.6188627108784177,0.1532386236505006,0.00818789994182667,0.000326402672534,0.3333333333333333
NHANES,Target-only,target_only_conformal,0.9041012216404886,0.6623762376237624,1.1427137870855149,0.1587114601512507,0.633740546829552,0.3237375538401297,0.004101221640488539,,
NHANES,Weighted ATCP,weighted_target_dominant_atcp,0.902283304246655,0.6613036303630363,1.1383798720186151,0.1558318789994182,0.6284031413612566,0.3252807378195446,0.0022833042466550157,0.002,0.0
NHANES,Safety-gated SHIFT,safety_gated_shift_atcp,0.9030977312390924,0.6612211221122112,1.140066899360093,0.1581588132635253,0.6318935427574172,0.3245334438104827,0.003097731239092405,0.000326402672534,0.1166666666666666
NHANES,SHIFT-ATCP,shift_aware_source_trust_atcp,0.9028504944735312,0.6600660066006601,1.1394706224549156,0.1582315299592786,0.631937172774869,0.3256355932203389,0.00285049447353114,0.000326402672534,0.0
NHANES,Old ATCP,adaptive_transport_conformal,0.8467568353694008,0.5381188118811882,1.0222803955788249,0.1059045956951716,0.6158958696916812,0.4293245161380545,0.05324316463059919,1.0,0.0
Pima,Risk-asymmetric SHIFT,risk_asymmetric_shift_atcp,0.8933159722222223,0.94863184079602,1.532421875,0.532421875,1.2432291666666666,0.0849651741293532,0.006684027777777768,0.0001559102779251,0.0
Pima,DP-SHIFT,dp_shift_atcp,0.8744791666666667,0.9279850746268656,1.475,0.475,1.1760416666666669,0.0821850746268657,0.025520833333333326,0.0001559102779251,0.0
Pima,Multi-objective DP-SHIFT,multi_objective_dp_shift_atcp,0.879079861111111,0.914179104477612,1.4881510416666666,0.4881510416666667,1.2170138888888888,0.0999980099502487,0.020920138888888995,0.0001559102779251,0.1833333333333333
Pima,Target-only,target_only_conformal,0.9086371527777778,0.8145522388059702,1.4998697916666666,0.4998697916666667,1.349956597222222,0.1821243781094527,0.008637152777777768,,
Pima,Safety-gated SHIFT,safety_gated_shift_atcp,0.9059461805555556,0.8092039800995025,1.4911458333333334,0.4911458333333333,1.3426649305555556,0.1875572139303482,0.005946180555555625,0.0001559102779251,0.0
Pima,SHIFT-ATCP,shift_aware_source_trust_atcp,0.9059461805555556,0.8092039800995025,1.4911458333333334,0.4911458333333333,1.3426649305555556,0.1875572139303482,0.005946180555555625,0.0001559102779251,0.0
Pima,Weighted ATCP,weighted_target_dominant_atcp,0.9016927083333334,0.8029850746268657,1.4806857638888888,0.4806857638888889,1.3346788194444446,0.1892427860696517,0.0016927083333333481,0.0036666666666666,0.0
Pima,Old ATCP,adaptive_transport_conformal,0.7612413194444444,0.4837064676616915,1.196918402777778,0.248828125,1.393012152777778,0.4520905472636816,0.13875868055555562,1.0,0.0
