dataset,feature_set,model,calibration_method,hyperparameter_protocol,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp
Kaggle_internal_test,model_a_screening,Logistic Regression,uncalibrated,equal_budget_source_validation,19226,0.8234713536901699,0.3038418269540413,0.7241755955476958,0.212222754108824,0.7841981132075472,0.7183685111237877,0.3340449579304282,0.1782558800520612,0.5236237171827656,0.27622290326050886,0.5274912052678887,0.8990855774357343,-2.3088055189162247,12593,4937,366,1330
Kaggle_internal_test,model_a_screening,Random Forest,uncalibrated,equal_budget_source_validation,19226,0.822811282410746,0.298586280389327,0.7104441901591595,0.20508913606582355,0.7936320754716981,0.7023958927552767,0.32594745126528635,0.17127585742087578,0.4995845211347766,0.27190543488442726,0.4961851941294078,1.1097768147974276,-2.246844407630957,12313,5217,350,1346
Kaggle_internal_test,model_a_screening,XGBoost,uncalibrated,equal_budget_source_validation,19226,0.8263837296440604,0.3129693836892431,0.9126183293456778,0.5439560439560439,0.05837264150943396,0.9952652595550485,0.10543130990415335,0.06919051706790924,0.23801845918000394,0.0034660494388434058,0.3801680472162035,0.9421692495555005,-0.11726645817824918,17447,83,1597,99
Kaggle_internal_test,model_a_screening,LightGBM,uncalibrated,equal_budget_source_validation,19226,0.8234484986653607,0.3097748152848053,0.7215229376885468,0.21105845181674565,0.7877358490566038,0.7151169423844838,0.3329180164465487,0.1742809785951019,0.5048307779322168,0.26152355923446713,0.529475797930743,0.9057541255205879,-2.252796067196997,12536,4994,360,1336
Kaggle_internal_test,model_a_screening,CatBoost,uncalibrated,equal_budget_source_validation,19226,0.8263397181650862,0.31170115314037794,0.9122542390512847,0.5257142857142857,0.054245283018867926,0.9952652595550485,0.09834313201496526,0.06926498369700906,0.23828180717276146,0.0035990345176185063,0.4470365709280491,0.9412517509922367,-0.11745833951568804,17447,83,1604,92
Kaggle_internal_test,model_b_routine_clinical,Logistic Regression,uncalibrated,equal_budget_source_validation,19226,0.9595682502502448,0.812109653336593,0.8855716217621971,0.42750287686996546,0.8761792452830188,0.8864803194523674,0.5746326372776489,0.07973634392847428,0.25020929423121446,0.12730847136335371,0.5840046904498131,0.9687048699900521,-2.3502745540632137,15540,1990,210,1486
Kaggle_internal_test,model_b_routine_clinical,Random Forest,uncalibrated,equal_budget_source_validation,19226,0.9740865557965322,0.8741286749606969,0.9034640590866535,0.47512437810945274,0.9009433962264151,0.9037079292641187,0.6221498371335505,0.061799849654473216,0.2108198511945958,0.13014278661666973,0.5089404195928334,1.7327658884789592,-2.27924621165449,15842,1688,168,1528
Kaggle_internal_test,model_b_routine_clinical,XGBoost,uncalibrated,equal_budget_source_validation,19226,0.9774047219591213,0.8820275274893724,0.9719650473317383,0.9816819317235637,0.6951650943396226,0.9987450085567599,0.8139454608215395,0.0234360434114933,0.08272040660795903,0.003656691976065144,0.7720908224582672,0.9687863795316876,-0.11192310701706087,17508,22,517,1179
Kaggle_internal_test,model_b_routine_clinical,LightGBM,uncalibrated,equal_budget_source_validation,19226,0.9773285217255594,0.8816629520797628,0.9084572974097577,0.48973042362002567,0.8997641509433962,0.9092983456930975,0.6342477140482128,0.05726678233048017,0.1680312012714985,0.08656109541850115,0.5708877094044573,0.8625272833860052,-2.2023982535056166,15940,1590,170,1526
Kaggle_internal_test,model_b_routine_clinical,CatBoost,uncalibrated,equal_budget_source_validation,19226,0.9772668518388961,0.8822308647110959,0.9716529699365443,0.9815899581589959,0.691627358490566,0.9987450085567599,0.8114839156001383,0.0234166752389345,0.08305248545030824,0.0036009581971439774,0.213294790425812,0.9843878920045396,-0.07838612526730082,17508,22,523,1173
Kaggle_internal_test,model_c_extended_transport,Logistic Regression,uncalibrated,equal_budget_source_validation,19226,0.9595682502502448,0.812109653336593,0.8855716217621971,0.42750287686996546,0.8761792452830188,0.8864803194523674,0.5746326372776489,0.07973634392847426,0.25020929423121446,0.1273084713633537,0.5840046904498131,0.9687048699900521,-2.3502745540632133,15540,1990,210,1486
Kaggle_internal_test,model_c_extended_transport,Random Forest,uncalibrated,equal_budget_source_validation,19226,0.9740547033925671,0.874359424476895,0.9042442525746385,0.4772370486656201,0.8962264150943396,0.9050199657729606,0.6228231919688588,0.06118471468507083,0.2075900234301691,0.12750362588643221,0.498594999173117,1.6997975606181044,-2.2669522943764338,15865,1665,176,1520
Kaggle_internal_test,model_c_extended_transport,XGBoost,uncalibrated,equal_budget_source_validation,19226,0.9774755405827207,0.8820916095564361,0.9719130344325393,0.9816666666666667,0.6945754716981132,0.9987450085567599,0.81353591160221,0.02342306077480316,0.08259141569038671,0.0038324332038892996,0.7441211640834808,0.9690791374704969,-0.11126054660962813,17508,22,518,1178
Kaggle_internal_test,model_c_extended_transport,LightGBM,uncalibrated,equal_budget_source_validation,19226,0.9773285217255594,0.8816629520797628,0.9084572974097577,0.48973042362002567,0.8997641509433962,0.9092983456930975,0.6342477140482128,0.05726678233048017,0.1680312012714985,0.08656109541850115,0.5708877094044573,0.8625272833860052,-2.2023982535056166,15940,1590,170,1526
Kaggle_internal_test,model_c_extended_transport,CatBoost,uncalibrated,equal_budget_source_validation,19226,0.9772668518388961,0.8822308647110959,0.9716529699365443,0.9815899581589959,0.691627358490566,0.9987450085567599,0.8114839156001383,0.0234166752389345,0.08305248545030824,0.0036009581971439774,0.213294790425812,0.9843878920045396,-0.07838612526730082,17508,22,523,1173
