feature_set,model,selection_split,calibration_method,selection_n,selection_ece,selection_brier,selected
model_a_screening,Logistic Regression,source_calibration_select,uncalibrated,9613,0.27313835537329006,0.1758464898787097,False
model_a_screening,Logistic Regression,source_calibration_select,platt,9613,0.008806253538284611,0.07038133476195141,False
model_a_screening,Logistic Regression,source_calibration_select,temperature,9613,0.2840667240717461,0.17423075853547593,False
model_a_screening,Logistic Regression,source_calibration_select,isotonic,9613,0.011095959724086009,0.07040225144772085,False
model_a_screening,Logistic Regression,source_calibration_select,beta,9613,0.005996165898993984,0.07009751847229763,True
model_a_screening,Random Forest,source_calibration_select,uncalibrated,9613,0.2699911492649277,0.1698930157499415,False
model_a_screening,Random Forest,source_calibration_select,platt,9613,0.006366461470416948,0.07026490672533921,True
model_a_screening,Random Forest,source_calibration_select,temperature,9613,0.2696613476740835,0.16995094677765574,False
model_a_screening,Random Forest,source_calibration_select,isotonic,9613,0.012244856480858973,0.07106264544357242,False
model_a_screening,Random Forest,source_calibration_select,beta,9613,0.007473514636887098,0.07033303736668566,False
model_a_screening,XGBoost,source_calibration_select,uncalibrated,9613,0.00674122083849461,0.06980432535365491,False
model_a_screening,XGBoost,source_calibration_select,platt,9613,0.006944399794522387,0.06981336719043131,False
model_a_screening,XGBoost,source_calibration_select,temperature,9613,0.006866498237543222,0.06982089628283465,False
model_a_screening,XGBoost,source_calibration_select,isotonic,9613,0.01149944456811773,0.07043609328288633,False
model_a_screening,XGBoost,source_calibration_select,beta,9613,0.006345545726280562,0.06978415537926992,True
model_a_screening,LightGBM,source_calibration_select,uncalibrated,9613,0.258808528528046,0.17208725755877693,False
model_a_screening,LightGBM,source_calibration_select,platt,9613,0.008936940277180356,0.06980140709984994,True
model_a_screening,LightGBM,source_calibration_select,temperature,9613,0.2693848780650255,0.16907064953210216,False
model_a_screening,LightGBM,source_calibration_select,isotonic,9613,0.014617761589596674,0.07063407967359099,False
model_a_screening,LightGBM,source_calibration_select,beta,9613,0.009652637596843944,0.06985904269960697,False
model_a_screening,CatBoost,source_calibration_select,uncalibrated,9613,0.00507037159787659,0.06973713628875466,True
model_a_screening,CatBoost,source_calibration_select,platt,9613,0.0071019801996608945,0.06974987215491474,False
model_a_screening,CatBoost,source_calibration_select,temperature,9613,0.006937353501338781,0.06975226201827643,False
model_a_screening,CatBoost,source_calibration_select,isotonic,9613,0.010442591592424184,0.0704583618732372,False
model_a_screening,CatBoost,source_calibration_select,beta,9613,0.006870209911260295,0.06971494202270279,False
model_b_routine_clinical,Logistic Regression,source_calibration_select,uncalibrated,9613,0.12679552046007575,0.07912477032732798,False
model_b_routine_clinical,Logistic Regression,source_calibration_select,platt,9613,0.006587010284915006,0.03414449423826824,False
model_b_routine_clinical,Logistic Regression,source_calibration_select,temperature,9613,0.12867670275143958,0.07906605131602977,False
model_b_routine_clinical,Logistic Regression,source_calibration_select,isotonic,9613,0.0038193839359374603,0.03424325859869946,False
model_b_routine_clinical,Logistic Regression,source_calibration_select,beta,9613,0.0064212892792088845,0.034121236546989696,True
model_b_routine_clinical,Random Forest,source_calibration_select,uncalibrated,9613,0.1291823910664683,0.06116318954307989,False
model_b_routine_clinical,Random Forest,source_calibration_select,platt,9613,0.013753815939855422,0.026596826204918468,False
model_b_routine_clinical,Random Forest,source_calibration_select,temperature,9613,0.09071399032054404,0.06054009921917833,False
model_b_routine_clinical,Random Forest,source_calibration_select,isotonic,9613,0.0034857356754311192,0.02553302823357373,True
model_b_routine_clinical,Random Forest,source_calibration_select,beta,9613,0.01082135328913226,0.02627136246544607,False
model_b_routine_clinical,XGBoost,source_calibration_select,uncalibrated,9613,0.0026632676885633404,0.02421058276347023,True
model_b_routine_clinical,XGBoost,source_calibration_select,platt,9613,0.0031922331652366426,0.024247331671402854,False
model_b_routine_clinical,XGBoost,source_calibration_select,temperature,9613,0.0037775351686663698,0.024222935915549033,False
model_b_routine_clinical,XGBoost,source_calibration_select,isotonic,9613,0.0033897578279282487,0.02494329757872094,False
model_b_routine_clinical,XGBoost,source_calibration_select,beta,9613,0.003043234606106702,0.024247345332022087,False
model_b_routine_clinical,LightGBM,source_calibration_select,uncalibrated,9613,0.08464907370336183,0.05610971672052572,False
model_b_routine_clinical,LightGBM,source_calibration_select,platt,9613,0.004388433540996939,0.02408752314485543,False
model_b_routine_clinical,LightGBM,source_calibration_select,temperature,9613,0.08612378671461497,0.0558423911481875,False
model_b_routine_clinical,LightGBM,source_calibration_select,isotonic,9613,0.004103970061614623,0.024671239610377493,False
model_b_routine_clinical,LightGBM,source_calibration_select,beta,9613,0.003855232446511156,0.02408492105136322,True
model_b_routine_clinical,CatBoost,source_calibration_select,uncalibrated,9613,0.003050601704618885,0.024159564252870767,False
model_b_routine_clinical,CatBoost,source_calibration_select,platt,9613,0.003415767224721981,0.024203619625031196,False
model_b_routine_clinical,CatBoost,source_calibration_select,temperature,9613,0.0030135834901838412,0.024170162589463307,True
model_b_routine_clinical,CatBoost,source_calibration_select,isotonic,9613,0.003964200476861865,0.024653072858319393,False
model_b_routine_clinical,CatBoost,source_calibration_select,beta,9613,0.0033072615180616853,0.024202072109604116,False
model_c_extended_transport,Logistic Regression,source_calibration_select,uncalibrated,9613,0.1267955204600757,0.07912477032732795,False
model_c_extended_transport,Logistic Regression,source_calibration_select,platt,9613,0.006587010284915006,0.03414449423826824,False
model_c_extended_transport,Logistic Regression,source_calibration_select,temperature,9613,0.12867670275141596,0.07906605131603024,False
model_c_extended_transport,Logistic Regression,source_calibration_select,isotonic,9613,0.0038193839359374534,0.03424325859869944,False
model_c_extended_transport,Logistic Regression,source_calibration_select,beta,9613,0.006421289279208883,0.034121236546989696,True
model_c_extended_transport,Random Forest,source_calibration_select,uncalibrated,9613,0.12671800754461984,0.060611076305643344,False
model_c_extended_transport,Random Forest,source_calibration_select,platt,9613,0.013961708660861771,0.026339910584037892,False
model_c_extended_transport,Random Forest,source_calibration_select,temperature,9613,0.09018786920539815,0.06026323406001745,False
model_c_extended_transport,Random Forest,source_calibration_select,isotonic,9613,0.0049410356035999164,0.025194128978916285,True
model_c_extended_transport,Random Forest,source_calibration_select,beta,9613,0.010314668768699587,0.02604875024199253,False
model_c_extended_transport,XGBoost,source_calibration_select,uncalibrated,9613,0.002957377413926061,0.024132940047158154,True
model_c_extended_transport,XGBoost,source_calibration_select,platt,9613,0.0036023705170643706,0.024166731395475705,False
model_c_extended_transport,XGBoost,source_calibration_select,temperature,9613,0.003942522766285686,0.02414352008769565,False
model_c_extended_transport,XGBoost,source_calibration_select,isotonic,9613,0.0029129898777088895,0.0247177539084565,False
model_c_extended_transport,XGBoost,source_calibration_select,beta,9613,0.004029717918227121,0.024167241980284263,False
model_c_extended_transport,LightGBM,source_calibration_select,uncalibrated,9613,0.08464907370336183,0.05610971672052572,False
model_c_extended_transport,LightGBM,source_calibration_select,platt,9613,0.004388433540996939,0.02408752314485543,False
model_c_extended_transport,LightGBM,source_calibration_select,temperature,9613,0.08612378671461497,0.0558423911481875,False
model_c_extended_transport,LightGBM,source_calibration_select,isotonic,9613,0.004103970061614623,0.024671239610377493,False
model_c_extended_transport,LightGBM,source_calibration_select,beta,9613,0.003855232446511156,0.02408492105136322,True
model_c_extended_transport,CatBoost,source_calibration_select,uncalibrated,9613,0.003050601704618885,0.024159564252870767,False
model_c_extended_transport,CatBoost,source_calibration_select,platt,9613,0.003415767224721981,0.024203619625031196,False
model_c_extended_transport,CatBoost,source_calibration_select,temperature,9613,0.0030135834901838412,0.024170162589463307,True
model_c_extended_transport,CatBoost,source_calibration_select,isotonic,9613,0.003964200476861865,0.024653072858319393,False
model_c_extended_transport,CatBoost,source_calibration_select,beta,9613,0.0033072615180616853,0.024202072109604116,False
