target_dataset,feature_set,model,selection_split,calibration_method,selection_n,selection_ece,selection_brier,selected
NHANES,model_a_screening,Logistic Regression,target_calibration_select,uncalibrated,573,0.3703465518315716,0.27400162065823047,False
NHANES,model_a_screening,Logistic Regression,target_calibration_select,platt,573,0.05017414993041521,0.12706364185061894,False
NHANES,model_a_screening,Logistic Regression,target_calibration_select,temperature,573,0.3294885665627637,0.24572460620538059,False
NHANES,model_a_screening,Logistic Regression,target_calibration_select,isotonic,573,0.04233297734091166,0.1280250600285923,False
NHANES,model_a_screening,Logistic Regression,target_calibration_select,beta,573,0.04380247451387742,0.1267194441929846,True
Pima,model_a_screening,Logistic Regression,target_calibration_select,uncalibrated,192,0.09331437886055405,0.1946519458868546,False
Pima,model_a_screening,Logistic Regression,target_calibration_select,platt,192,0.04808631592847995,0.18602282672578005,False
Pima,model_a_screening,Logistic Regression,target_calibration_select,temperature,192,0.09516459598391823,0.19481242661945244,False
Pima,model_a_screening,Logistic Regression,target_calibration_select,isotonic,192,0.06060941884018837,0.19325280188524321,False
Pima,model_a_screening,Logistic Regression,target_calibration_select,beta,192,0.03582925332946935,0.18629535519319698,True
NHANES,model_a_screening,Random Forest,target_calibration_select,uncalibrated,573,0.3563046918340327,0.2605092177505972,False
NHANES,model_a_screening,Random Forest,target_calibration_select,platt,573,0.04968345930522719,0.12614026418214033,False
NHANES,model_a_screening,Random Forest,target_calibration_select,temperature,573,0.32843836508884283,0.2431870621521597,False
NHANES,model_a_screening,Random Forest,target_calibration_select,isotonic,573,0.03572808597263038,0.12554105663900908,True
NHANES,model_a_screening,Random Forest,target_calibration_select,beta,573,0.04079127868078392,0.12621631397815888,False
Pima,model_a_screening,Random Forest,target_calibration_select,uncalibrated,192,0.04719269527490495,0.1913988852642837,True
Pima,model_a_screening,Random Forest,target_calibration_select,platt,192,0.08448045034993844,0.19178037976008974,False
Pima,model_a_screening,Random Forest,target_calibration_select,temperature,192,0.05953285348566587,0.1921049661509525,False
Pima,model_a_screening,Random Forest,target_calibration_select,isotonic,192,0.06528691772162182,0.19788969682945945,False
Pima,model_a_screening,Random Forest,target_calibration_select,beta,192,0.07497463079404562,0.19193177693233776,False
NHANES,model_a_screening,XGBoost,target_calibration_select,uncalibrated,573,0.024881406549858428,0.12318501522143414,False
NHANES,model_a_screening,XGBoost,target_calibration_select,platt,573,0.04021314238502127,0.12474723512272952,False
NHANES,model_a_screening,XGBoost,target_calibration_select,temperature,573,0.023875892442748715,0.12250804343841351,True
NHANES,model_a_screening,XGBoost,target_calibration_select,isotonic,573,0.04391189383965801,0.1258022663309874,False
NHANES,model_a_screening,XGBoost,target_calibration_select,beta,573,0.03778558692930583,0.12480731568603527,False
Pima,model_a_screening,XGBoost,target_calibration_select,uncalibrated,192,0.2663493079526233,0.2713477444734956,False
Pima,model_a_screening,XGBoost,target_calibration_select,platt,192,0.04001457938167556,0.19157554243095923,True
Pima,model_a_screening,XGBoost,target_calibration_select,temperature,192,0.10378194022643976,0.2054750932585204,False
Pima,model_a_screening,XGBoost,target_calibration_select,isotonic,192,0.05625372269970365,0.19513253316184798,False
Pima,model_a_screening,XGBoost,target_calibration_select,beta,192,0.041678556101405424,0.19124676839253965,False
NHANES,model_a_screening,LightGBM,target_calibration_select,uncalibrated,573,0.351068406989735,0.26611526852432643,False
NHANES,model_a_screening,LightGBM,target_calibration_select,platt,573,0.03709978923305215,0.12533958725646513,True
NHANES,model_a_screening,LightGBM,target_calibration_select,temperature,573,0.3271268529704249,0.23805567284298146,False
NHANES,model_a_screening,LightGBM,target_calibration_select,isotonic,573,0.03722183670969038,0.12597548183783688,False
