target_dataset,feature_set,model,scenario,calibration_method,n,roc_auc,pr_auc,accuracy,precision,sensitivity,specificity,f1_score,brier_score,log_loss,ece,mce,calibration_slope,calibration_intercept,tn,fp,fn,tp
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,1146,0.7754761704984057,0.40157771477528276,0.5549738219895288,0.27419354838709675,0.9257425742574258,0.475635593220339,0.4230769230769231,0.2849900822334099,0.8011152153057978,0.3772930793430946,0.5301504910407524,0.8904577287530652,-2.193449782132947,449,495,15,187
NHANES,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,1146,0.7754761704984057,0.40157771477528276,0.40663176265270506,0.2271689497716895,0.9851485148514851,0.2828389830508475,0.3692022263450835,0.40221685686508585,1.1523459247552448,0.5107756032819516,0.5996744498382977,0.8908267168090684,-2.897056352867496,267,677,3,199
NHANES,model_a_screening,Logistic Regression,fixed_recalibration_source_selected,beta,1146,0.7754761704984057,0.40157771477528276,0.8254799301919721,0.625,0.024752475247524754,0.996822033898305,0.047619047619047616,0.12503448800230402,0.3893449799840658,0.017339463032212094,0.14143569856542637,1.2185054963595037,0.2622981524994619,941,3,197,5
NHANES,model_a_screening,Logistic Regression,adaptive_calibration_target_selected,beta,1146,0.7754761704984057,0.40157771477528276,0.8254799301919721,0.625,0.024752475247524754,0.996822033898305,0.047619047619047616,0.12503448800230402,0.3893449799840658,0.017339463032212094,0.14143569856542637,1.2185054963595037,0.2622981524994619,941,3,197,5
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,384,0.7062537313432835,0.49270676022428017,0.640625,0.4861111111111111,0.5223880597014925,0.704,0.5035971223021583,0.21764897353264248,0.624503645291112,0.12632429244830717,0.4196650209934438,0.6666403893884161,-0.496689039358396,176,74,64,70
Pima,model_a_screening,Logistic Regression,label_shift_adjusted,label_shift,384,0.7062537313432835,0.49270676022428017,0.4453125,0.3861671469740634,1.0,0.148,0.5571725571725572,0.3641617928874797,1.0603096230905726,0.40905977296074314,0.5024773976652802,0.6658594888091729,-1.6362712593795714,37,213,0,134
Pima,model_a_screening,Logistic Regression,fixed_recalibration_source_selected,beta,384,0.7062537313432835,0.49270676022428017,0.6510416666666666,0.5,0.373134328358209,0.8,0.42735042735042733,0.20620772715774952,0.5877105123890942,0.09914872408709463,0.2647932308811891,0.8110355244088275,-0.10415187579927401,200,50,84,50
Pima,model_a_screening,Logistic Regression,adaptive_calibration_target_selected,beta,384,0.7062537313432835,0.49270676022428017,0.6510416666666666,0.5,0.373134328358209,0.8,0.42735042735042733,0.20620772715774952,0.5877105123890942,0.09914872408709463,0.2647932308811891,0.8110355244088275,-0.10415187579927401,200,50,84,50
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,1146,0.776559091290485,0.38727701503880557,0.5479930191972077,0.27363896848137537,0.9455445544554455,0.4629237288135593,0.42444444444444446,0.2666813786955085,0.733611040324248,0.3581613134832254,0.4688058677112765,1.2127697106735131,-2.209045925833772,437,507,11,191
NHANES,model_a_screening,Random Forest,label_shift_adjusted,label_shift,1146,0.776559091290485,0.38727701503880557,0.4109947643979058,0.22847301951779564,0.9851485148514851,0.288135593220339,0.37092264678471576,0.3905865478860303,1.0737644547220906,0.5012901767132764,0.5736082328916413,1.2131418224731407,-3.166687774191705,272,672,3,199
