target_dataset,feature_set,model,scenario,calibration_method,confidence_level,conformal_method,n,marginal_coverage,coverage_gap,average_prediction_set_size,prediction_set_efficiency,singleton_prediction_rate,empty_set_rate,class_0_conditional_coverage,class_1_conditional_coverage
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,split_conformal_source_calibration,1146,0.2024432809773124,-0.5975567190226876,0.32897033158813266,3.039787798408488,0.32897033158813266,0.6710296684118674,0.15466101694915255,0.42574257425742573
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.8,adaptive_transport_conformal,1146,0.2556719022687609,-0.5443280977312391,0.43106457242582896,2.319838056680162,0.43106457242582896,0.568935427574171,0.19703389830508475,0.5297029702970297
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.9,split_conformal_source_calibration,1146,0.4406631762652705,-0.4593368237347295,0.7809773123909249,1.2804469273743018,0.7809773123909249,0.21902268760907503,0.3601694915254237,0.8168316831683168
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.9,adaptive_transport_conformal,1146,0.6221640488656196,-0.2778359511343804,1.1413612565445026,0.8761467889908257,0.8586387434554974,0.0,0.5508474576271186,0.9554455445544554
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.95,split_conformal_source_calibration,1146,0.8298429319371727,-0.12015706806282722,1.5776614310645725,0.6338495575221239,0.4223385689354276,0.0,0.7944915254237288,0.995049504950495
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,0.95,adaptive_transport_conformal,1146,0.8621291448516579,-0.08787085514834203,1.6465968586387434,0.6073131955484897,0.35340314136125656,0.0,0.8336864406779662,0.995049504950495
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.8,split_conformal_source_calibration,1146,0.5043630017452007,-0.2956369982547994,0.5401396160558464,1.8513731825525042,0.5401396160558464,0.4598603839441536,0.6122881355932204,0.0
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.8,adaptive_transport_conformal,1146,0.5383944153577661,-0.26160558464223393,0.5820244328097731,1.7181409295352323,0.5820244328097731,0.4179755671902269,0.6536016949152542,0.0
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.9,split_conformal_source_calibration,1146,0.7975567190226877,-0.10244328097731237,0.9476439790575916,1.0552486187845305,0.9476439790575916,0.05235602094240838,0.9671610169491526,0.0049504950495049506
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.9,adaptive_transport_conformal,1146,0.8150087260034904,-0.08499127399650963,0.9773123909249564,1.0232142857142856,0.9773123909249564,0.02268760907504363,0.9883474576271186,0.0049504950495049506
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.95,split_conformal_source_calibration,1146,0.9502617801047121,0.0002617801047121171,1.3769633507853403,0.7262357414448669,0.6230366492146597,0.0,1.0,0.7178217821782178
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,0.95,adaptive_transport_conformal,1146,0.9502617801047121,0.0002617801047121171,1.3848167539267016,0.722117202268431,0.6151832460732984,0.0,1.0,0.7178217821782178
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.8,split_conformal_source_calibration,1146,0.5855148342059336,-0.2144851657940664,0.6378708551483421,1.5677154582763337,0.6378708551483421,0.3621291448516579,0.7108050847457628,0.0
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.8,adaptive_transport_conformal,1146,0.5855148342059336,-0.2144851657940664,0.6378708551483421,1.5677154582763337,0.6378708551483421,0.3621291448516579,0.7108050847457628,0.0
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.9,split_conformal_source_calibration,1146,0.7923211169284468,-0.10767888307155327,0.9389179755671903,1.0650557620817844,0.9389179755671903,0.06108202443280977,0.961864406779661,0.0
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,0.9,adaptive_transport_conformal,1146,0.7923211169284468,-0.10767888307155327,0.9389179755671903,1.0650557620817844,0.9389179755671903,0.06108202443280977,0.961864406779661,0.0
