target_dataset,feature_set,model,scenario,calibration_method,conformal_method,subgroup,level,n,roc_auc,ece,coverage,prediction_set_size,sensitivity,specificity,false_positive_rate,false_negative_rate
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,age_group,20-44,428,0.789949858295182,0.29213108191967047,0.852803738317757,1.0981308411214954,0.6363636363636364,0.8177458033573142,0.18225419664268586,0.36363636363636365
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,age_group,45-64,416,0.6606184467744802,0.41759853767954613,0.5456730769230769,1.2427884615384615,0.8705882352941177,0.3081570996978852,0.6918429003021148,0.12941176470588237
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,age_group,65+,302,0.6095494801694263,0.4426246987144031,0.40066225165562913,1.0629139072847682,1.0,0.030612244897959183,0.9693877551020408,0.0
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,sex,Female,590,0.7547733300937456,0.35769292120632995,0.6457627118644068,1.1406779661016948,0.8811881188118812,0.5051124744376279,0.4948875255623722,0.1188118811881188
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,sex,Male,556,0.8010553802633009,0.39817793207972146,0.5971223021582733,1.1420863309352518,0.9702970297029703,0.44395604395604393,0.5560439560439561,0.0297029702970297
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Mexican American,161,0.771900826446281,0.29833117734939046,0.6956521739130435,1.2111801242236024,0.9,0.5206611570247934,0.4793388429752066,0.1
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Non-Hispanic Asian,147,0.8119918699186992,0.2834890927408031,0.7755102040816326,1.1904761904761905,0.8333333333333334,0.6504065040650406,0.34959349593495936,0.16666666666666666
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Non-Hispanic Black,281,0.7247918593894542,0.42218775577203976,0.5480427046263345,1.113879003558719,0.9782608695652174,0.4085106382978723,0.5914893617021276,0.021739130434782608
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Non-Hispanic White,402,0.8117553070075325,0.4196191781544423,0.5771144278606966,1.1343283582089552,0.9538461538461539,0.42136498516320475,0.5786350148367952,0.046153846153846156
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Other Hispanic,94,0.7763713080168777,0.3859577884037635,0.5851063829787234,1.0851063829787233,0.8666666666666667,0.46835443037974683,0.5316455696202531,0.13333333333333333
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,race,Other/Multi-racial,61,0.8673469387755103,0.31343994199880654,0.7540983606557377,1.098360655737705,0.9166666666666666,0.6326530612244898,0.3673469387755102,0.08333333333333333
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,socioeconomic_status,High,309,0.754054054054054,0.3901503277190018,0.6213592233009708,1.1521035598705502,0.9,0.46332046332046334,0.5366795366795367,0.1
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,socioeconomic_status,Low,259,0.7848913759052007,0.374846353355254,0.6447876447876448,1.162162162162162,0.9285714285714286,0.5023041474654378,0.4976958525345622,0.07142857142857142
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,socioeconomic_status,Middle,428,0.7886853448275861,0.3800673815827483,0.616822429906542,1.1238317757009346,0.9375,0.47126436781609193,0.5287356321839081,0.0625
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,socioeconomic_status,Unknown,150,0.75625,0.34743505097640803,0.6,1.1333333333333333,0.9333333333333333,0.4666666666666667,0.5333333333333333,0.06666666666666667
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,age_group,20-44,428,0.789949858295182,0.04671556479101625,0.969626168224299,0.9953271028037384,0.0,0.9976019184652278,0.002398081534772182,1.0
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,age_group,45-64,416,0.6606184467744802,0.016111847718173963,0.7836538461538461,0.9759615384615384,0.03529411764705882,0.9969788519637462,0.0030211480362537764,0.9647058823529412
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,age_group,65+,302,0.6095494801694263,0.05544826697280632,0.6390728476821192,0.9536423841059603,0.018867924528301886,0.9948979591836735,0.00510204081632653,0.9811320754716981
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,sex,Female,590,0.7547733300937456,0.02692193046329743,0.8203389830508474,0.9796610169491525,0.039603960396039604,0.9959100204498977,0.00408997955010225,0.9603960396039604
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,sex,Male,556,0.8010553802633009,0.03403789989062319,0.8093525179856115,0.9748201438848921,0.009900990099009901,0.9978021978021978,0.002197802197802198,0.9900990099009901
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,race,Mexican American,161,0.771900826446281,0.08289883359908198,0.7515527950310559,1.0,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,race,Non-Hispanic Asian,147,0.8119918699186992,0.05792747398199816,0.8367346938775511,1.0,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,race,Non-Hispanic Black,281,0.7247918593894542,0.050970955768383334,0.8149466192170819,0.9644128113879004,0.043478260869565216,0.9914893617021276,0.00851063829787234,0.9565217391304348
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,race,Non-Hispanic White,402,0.8117553070075325,0.04865978523090193,0.8283582089552238,0.9676616915422885,0.046153846153846156,0.9970326409495549,0.002967359050445104,0.9538461538461539
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,race,Other Hispanic,94,0.7763713080168777,0.09029433217091676,0.8404255319148937,0.9893617021276596,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,race,Other/Multi-racial,61,0.8673469387755103,0.08407836551626169,0.8032786885245902,0.9672131147540983,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,socioeconomic_status,High,309,0.754054054054054,0.054281014247517564,0.8317152103559871,0.9870550161812298,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,socioeconomic_status,Low,259,0.7848913759052007,0.025909145714031037,0.8301158301158301,0.9806949806949807,0.023809523809523808,1.0,0.0,0.9761904761904762
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,socioeconomic_status,Middle,428,0.7886853448275861,0.037001272756330826,0.8037383177570093,0.9719626168224299,0.025,0.9913793103448276,0.008620689655172414,0.975
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,socioeconomic_status,Unknown,150,0.75625,0.049245794526321815,0.7866666666666666,0.9666666666666667,0.06666666666666667,1.0,0.0,0.9333333333333333
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,age_group,20-44,428,0.775888380204927,0.03953444403930208,0.9672897196261683,0.9906542056074766,0.0,0.9976019184652278,0.002398081534772182,1.0
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,age_group,45-64,416,0.6612049049226942,0.0243729017407046,0.7764423076923077,0.9591346153846154,0.047058823529411764,0.9969788519637462,0.0030211480362537764,0.9529411764705882
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,age_group,65+,302,0.5944599537928379,0.04885919408106082,0.5662251655629139,0.8377483443708609,0.02830188679245283,0.9948979591836735,0.00510204081632653,0.9716981132075472
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,sex,Female,590,0.7532345259065782,0.03302541655703773,0.8016949152542373,0.9491525423728814,0.04950495049504951,0.9959100204498977,0.00408997955010225,0.9504950495049505
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,sex,Male,556,0.7966053748231966,0.029555250237133162,0.7823741007194245,0.9280575539568345,0.019801980198019802,0.9978021978021978,0.002197802197802198,0.9801980198019802
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Mexican American,161,0.75650826446281,0.0850189846277535,0.7453416149068323,0.9813664596273292,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Non-Hispanic Asian,147,0.8140243902439025,0.051726933351201286,0.8299319727891157,0.9931972789115646,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Non-Hispanic Black,281,0.7290009250693802,0.05167983883782201,0.7829181494661922,0.9110320284697508,0.08695652173913043,0.9914893617021276,0.00851063829787234,0.9130434782608695
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Non-Hispanic White,402,0.8062086281670852,0.038167727045859884,0.8009950248756219,0.9203980099502488,0.046153846153846156,0.9970326409495549,0.002967359050445104,0.9538461538461539
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Other Hispanic,94,0.7869198312236286,0.053627357130369445,0.8297872340425532,0.9787234042553191,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,race,Other/Multi-racial,61,0.8579931972789115,0.06760408821125066,0.7540983606557377,0.8852459016393442,0.0,1.0,0.0,1.0
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,socioeconomic_status,High,309,0.7526254826254827,0.04651206701860821,0.8122977346278317,0.9546925566343042,0.02,1.0,0.0,0.98
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,socioeconomic_status,Low,259,0.7786921220100944,0.034771985710285544,0.8108108108108109,0.9498069498069498,0.023809523809523808,1.0,0.0,0.9761904761904762
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,socioeconomic_status,Middle,428,0.786242816091954,0.01493529874820497,0.7733644859813084,0.9205607476635514,0.025,0.9913793103448276,0.008620689655172414,0.975
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,socioeconomic_status,Unknown,150,0.7548611111111111,0.04750746462510809,0.7733333333333333,0.94,0.1,1.0,0.0,0.9
