target_dataset,feature_set,model,scenario,calibration_method,conformal_method,equal_opportunity_difference,calibration_difference,coverage_gap_between_groups,reliability_gap
NHANES,model_a_screening,CatBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.16666666666666666,0.0744383500209904,0.3617162839636071,0.3617162839636071
NHANES,model_a_screening,CatBoost,fixed_recalibration,beta,adaptive_transport_conformal,0.0,0.05996048547860458,0.3352262177384415,0.3352262177384415
NHANES,model_a_screening,CatBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.16666666666666666,0.07405111821344207,0.3584050256854614,0.3584050256854614
NHANES,model_a_screening,LightGBM,adaptive_calibration,isotonic,adaptive_transport_conformal,0.18461538461538463,0.0709836964911753,0.3517825091291701,0.3517825091291701
NHANES,model_a_screening,LightGBM,fixed_recalibration,beta,adaptive_transport_conformal,0.06666666666666667,0.0588130190233329,0.33853747601658724,0.33853747601658724
NHANES,model_a_screening,LightGBM,naive_transfer,uncalibrated,adaptive_transport_conformal,0.4545454545454546,0.17059978708441212,0.41533081636442415,0.4545454545454546
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,adaptive_transport_conformal,0.1,0.07008368587954852,0.40106455406325436,0.40106455406325436
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,adaptive_transport_conformal,0.06666666666666667,0.0741824844527428,0.3305533205421798,0.3305533205421798
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,adaptive_transport_conformal,0.36363636363636365,0.1591356059736,0.4521414866621279,0.4521414866621279
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,adaptive_transport_conformal,0.16666666666666666,0.08443265172081131,0.427941449526521,0.427941449526521
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,adaptive_transport_conformal,0.16666666666666666,0.08443265172081131,0.427941449526521,0.427941449526521
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,adaptive_transport_conformal,0.34189723320158105,0.15639070609610844,0.4521260134926039,0.4521260134926039
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.16666666666666666,0.06272117999298024,0.3550937674073157,0.3550937674073157
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,adaptive_transport_conformal,0.03333333333333333,0.061807343356868556,0.3517825091291701,0.3517825091291701
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.16666666666666666,0.0836013635311975,0.3617162839636071,0.3617162839636071
NHANES,model_b_routine_clinical,CatBoost,adaptive_calibration,isotonic,adaptive_transport_conformal,0.22780748663101608,0.07709627452033924,0.3566720306987683,0.3566720306987683
NHANES,model_b_routine_clinical,CatBoost,fixed_recalibration,isotonic,adaptive_transport_conformal,0.22780748663101608,0.07709627452033924,0.3566720306987683,0.3566720306987683
NHANES,model_b_routine_clinical,CatBoost,naive_transfer,uncalibrated,adaptive_transport_conformal,0.251336898395722,0.12487748131257206,0.2748499102556168,0.2748499102556168
NHANES,model_b_routine_clinical,LightGBM,adaptive_calibration,isotonic,adaptive_transport_conformal,0.23957219251336898,0.0727278197118693,0.1852447855418704,0.23957219251336898
NHANES,model_b_routine_clinical,LightGBM,fixed_recalibration,temperature,adaptive_transport_conformal,0.29166666666666674,0.04515872372696202,0.22479420684533025,0.29166666666666674
