target_dataset,feature_set,model,scenario,calibration_method,metric,estimate,ci_95_lower,ci_95_upper,bootstrap_repeats
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,roc_auc,0.7755732505453935,0.7442456394739051,0.8066490812216814,1000
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,brier_score,0.28515653725992784,0.27091390879897764,0.29878909771297457,1000
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,ece,0.37755171405365245,0.3635606377884204,0.3910074317523446,1000
NHANES,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,coverage,0.622109947643979,0.5951134380453752,0.6483420593368238,1000
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,roc_auc,0.7755732505453935,0.7442456394739051,0.8066490812216814,1000
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,brier_score,0.12501804056355895,0.1204660022208287,0.12962613070402598,1000
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,ece,0.024452051528559317,0.011996081885207177,0.04024905958800342,1000
NHANES,model_a_screening,Logistic Regression,fixed_recalibration,beta,coverage,0.8150523560209424,0.8089005235602095,0.8202443280977313,1000
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,roc_auc,0.7728817151577446,0.7408764578788386,0.8034857987917436,1000
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,brier_score,0.12515305962258066,0.12038528445423677,0.13002516121144878,1000
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,ece,0.02279357486886973,0.009940643111233122,0.039151988765660214,1000
NHANES,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,coverage,0.7924764397905759,0.7818499127399651,0.8027923211169284,1000
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,roc_auc,0.7066844029850747,0.6550570895522388,0.7556276119402986,1000
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,brier_score,0.21742529585064205,0.19834574869551763,0.2379601590954104,1000
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,ece,0.13310220092448968,0.09872454762422846,0.17163342021352343,1000
Pima,model_a_screening,Logistic Regression,naive_transfer,uncalibrated,coverage,0.5677942708333333,0.5182291666666666,0.6145833333333334,1000
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,roc_auc,0.7066844029850747,0.6550570895522388,0.7556276119402986,1000
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,brier_score,0.2060662790120058,0.19082732780291878,0.22221450968114165,1000
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,ece,0.1111173974867061,0.07356648223858654,0.15299689289331567,1000
Pima,model_a_screening,Logistic Regression,fixed_recalibration,beta,coverage,0.565578125,0.5208333333333334,0.6067708333333334,1000
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,roc_auc,0.6988527164179105,0.6459194029850747,0.7456574626865672,1000
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,brier_score,0.20779088836827703,0.19118248809361565,0.22531115023745946,1000
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,ece,0.10298968861494885,0.06594964145530584,0.1436229093713795,1000
Pima,model_a_screening,Logistic Regression,adaptive_calibration,isotonic,coverage,0.5630963541666666,0.5182291666666666,0.6068359375,1000
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,roc_auc,0.7850299546903843,0.7535827503566035,0.8152760661394529,1000
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,brier_score,0.25384496358856107,0.2410760941505314,0.2656308424771629,1000
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,ece,0.33992187095879534,0.32630408097366526,0.35252819956716475,1000
NHANES,model_a_screening,Random Forest,naive_transfer,uncalibrated,coverage,0.6507835951134381,0.6256326352530541,0.6788830715532286,1000
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,roc_auc,0.7829931484938748,0.7513451947684175,0.8125258275297867,1000
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,brier_score,0.12447304670286546,0.1196492154014648,0.1295694498327321,1000
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,ece,0.02976651558664491,0.014528049862255171,0.04758245047510727,1000
NHANES,model_a_screening,Random Forest,fixed_recalibration,isotonic,coverage,0.7641867364746945,0.7495636998254799,0.7774869109947644,1000
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,roc_auc,0.7829931484938748,0.7513451947684175,0.8125258275297867,1000
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,brier_score,0.12447304670286546,0.1196492154014648,0.1295694498327321,1000
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,ece,0.02976651558664491,0.014528049862255171,0.04758245047510727,1000
NHANES,model_a_screening,Random Forest,adaptive_calibration,isotonic,coverage,0.7641867364746945,0.7495636998254799,0.7774869109947644,1000
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,roc_auc,0.7223176567164179,0.6712828358208955,0.7703242537313433,1000
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,brier_score,0.20949683547480943,0.19061821485169886,0.2290783103442004,1000
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,ece,0.11869448136657561,0.08396588816693097,0.15497343475694425,1000
Pima,model_a_screening,Random Forest,naive_transfer,uncalibrated,coverage,0.5599270833333333,0.5182291666666666,0.6016276041666666,1000
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,roc_auc,0.7097200746268657,0.6608888059701492,0.7551059701492537,1000
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,brier_score,0.20211802826717462,0.18652772624720942,0.21858641633284773,1000
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,ece,0.08000730384909718,0.04781894239504607,0.1154333972258341,1000
Pima,model_a_screening,Random Forest,fixed_recalibration,isotonic,coverage,0.5836223958333333,0.5494791666666666,0.6197916666666666,1000
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,roc_auc,0.7097200746268657,0.6608888059701492,0.7551059701492537,1000
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,brier_score,0.20211802826717462,0.18652772624720942,0.21858641633284773,1000
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,ece,0.08000730384909718,0.04781894239504607,0.1154333972258341,1000
Pima,model_a_screening,Random Forest,adaptive_calibration,isotonic,coverage,0.5836223958333333,0.5494791666666666,0.6197916666666666,1000
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,roc_auc,0.7688931500671253,0.7354751609959725,0.7998106855177043,1000
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,brier_score,0.1261215170994401,0.1201232610270381,0.1325091514736414,1000
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,ece,0.029365459728150193,0.01742731455663125,0.04389038040049953,1000
NHANES,model_a_screening,XGBoost,naive_transfer,uncalibrated,coverage,0.8034171029668412,0.7922993019197208,0.8150087260034904,1000
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,roc_auc,0.7688931500671253,0.7354751609959725,0.7998106855177043,1000
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,brier_score,0.12610879010964543,0.12163470316161264,0.13097138523017607,1000
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,ece,0.02054989872441864,0.00795497681922236,0.03480400395181087,1000
NHANES,model_a_screening,XGBoost,fixed_recalibration,beta,coverage,0.8123516579406632,0.8054101221640488,0.8184991273996509,1000
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,roc_auc,0.76637948114197,0.7327016513886558,0.7973176733722102,1000
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,brier_score,0.1257178386428663,0.1209082872677729,0.1308406046580179,1000
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,ece,0.016158319174540272,0.005781220612297744,0.030070660127624813,1000
NHANES,model_a_screening,XGBoost,adaptive_calibration,isotonic,coverage,0.8114825479930192,0.8045375218150087,0.8176265270506108,1000
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,roc_auc,0.696370223880597,0.645864552238806,0.7478063432835821,1000
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,brier_score,0.2916709555387497,0.2806160137057304,0.30201319679617883,1000
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,ece,0.2736630406198747,0.2606265592405483,0.2896322331466156,1000
Pima,model_a_screening,XGBoost,naive_transfer,uncalibrated,coverage,0.6435338541666666,0.6328125,0.6510416666666666,1000
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,roc_auc,0.696370223880597,0.645864552238806,0.7478063432835821,1000
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,brier_score,0.20727557029053026,0.1931496170535737,0.22082002586705043,1000
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,ece,0.08742412556309544,0.05347750442875249,0.12365997557656985,1000
Pima,model_a_screening,XGBoost,fixed_recalibration,beta,coverage,0.5416640625,0.5,0.5833333333333334,1000
Pima,model_a_screening,XGBoost,adaptive_calibration,isotonic,roc_auc,0.6932340149253731,0.6429835820895523,0.7431861940298508,1000
Pima,model_a_screening,XGBoost,adaptive_calibration,isotonic,brier_score,0.20546179275066281,0.19013444050948275,0.22061124226125328,1000
Pima,model_a_screening,XGBoost,adaptive_calibration,isotonic,ece,0.07698572906705785,0.044225496699692224,0.11414909387671746,1000
Pima,model_a_screening,XGBoost,adaptive_calibration,isotonic,coverage,0.5678125,0.53125,0.6041666666666666,1000
NHANES,model_a_screening,LightGBM,naive_transfer,uncalibrated,roc_auc,0.7759069632069139,0.7421023478142306,0.8062161095611681,1000
NHANES,model_a_screening,LightGBM,naive_transfer,uncalibrated,brier_score,0.2591051096100814,0.24463047948138603,0.27335289211587893,1000
NHANES,model_a_screening,LightGBM,naive_transfer,uncalibrated,ece,0.3250514885916538,0.3095022645718894,0.3404143686739358,1000
NHANES,model_a_screening,LightGBM,naive_transfer,uncalibrated,coverage,0.6235610820244328,0.5959860383944153,0.6518324607329843,1000
NHANES,model_a_screening,LightGBM,fixed_recalibration,beta,roc_auc,0.7759069632069139,0.7421023478142306,0.8062161095611681,1000
NHANES,model_a_screening,LightGBM,fixed_recalibration,beta,brier_score,0.12519039834584744,0.12063675160415888,0.130181054552027,1000
