target_dataset,feature_set,model,comparison,naive_correct_adaptive_wrong,naive_wrong_adaptive_correct,mcnemar_exact_p_value
NHANES,model_a_screening,Logistic Regression,naive_transfer_vs_adaptive_calibration,180,492,2.1985268934314503e-34
Pima,model_a_screening,Logistic Regression,naive_transfer_vs_adaptive_calibration,30,32,0.8990763136528589
NHANES,model_a_screening,Random Forest,naive_transfer_vs_adaptive_calibration,170,458,1.8787548098792915e-31
Pima,model_a_screening,Random Forest,naive_transfer_vs_adaptive_calibration,6,5,1.0
NHANES,model_a_screening,XGBoost,naive_transfer_vs_adaptive_calibration,0,1,1.0
Pima,model_a_screening,XGBoost,naive_transfer_vs_adaptive_calibration,42,40,0.9121566075526037
NHANES,model_a_screening,LightGBM,naive_transfer_vs_adaptive_calibration,153,424,2.0515837700686807e-30
Pima,model_a_screening,LightGBM,naive_transfer_vs_adaptive_calibration,2,7,0.1796875
NHANES,model_a_screening,CatBoost,naive_transfer_vs_adaptive_calibration,5,3,0.7265625
Pima,model_a_screening,CatBoost,naive_transfer_vs_adaptive_calibration,39,38,1.0
NHANES,model_b_routine_clinical,Logistic Regression,naive_transfer_vs_adaptive_calibration,42,61,0.07561910758625795
Pima,model_b_routine_clinical,Logistic Regression,naive_transfer_vs_adaptive_calibration,11,18,0.26493089646101
NHANES,model_b_routine_clinical,Random Forest,naive_transfer_vs_adaptive_calibration,47,88,0.0005273346057409798
Pima,model_b_routine_clinical,Random Forest,naive_transfer_vs_adaptive_calibration,23,36,0.11747735024505848
NHANES,model_b_routine_clinical,XGBoost,naive_transfer_vs_adaptive_calibration,20,24,0.651587827208914
Pima,model_b_routine_clinical,XGBoost,naive_transfer_vs_adaptive_calibration,47,80,0.004330818115086331
NHANES,model_b_routine_clinical,LightGBM,naive_transfer_vs_adaptive_calibration,38,59,0.041729321201286
Pima,model_b_routine_clinical,LightGBM,naive_transfer_vs_adaptive_calibration,13,21,0.22948101302608848
NHANES,model_b_routine_clinical,CatBoost,naive_transfer_vs_adaptive_calibration,4,2,0.6875
Pima,model_b_routine_clinical,CatBoost,naive_transfer_vs_adaptive_calibration,39,65,0.013836195066747879
NHANES,model_c_extended_transport,Logistic Regression,naive_transfer_vs_adaptive_calibration,42,61,0.07561910758625795
Pima,model_c_extended_transport,Logistic Regression,naive_transfer_vs_adaptive_calibration,11,18,0.26493089646101
NHANES,model_c_extended_transport,Random Forest,naive_transfer_vs_adaptive_calibration,53,93,0.0011725629873702776
Pima,model_c_extended_transport,Random Forest,naive_transfer_vs_adaptive_calibration,30,41,0.23509756240834187
NHANES,model_c_extended_transport,XGBoost,naive_transfer_vs_adaptive_calibration,21,22,1.0
Pima,model_c_extended_transport,XGBoost,naive_transfer_vs_adaptive_calibration,44,81,0.0011924972205224573
NHANES,model_c_extended_transport,LightGBM,naive_transfer_vs_adaptive_calibration,38,59,0.041729321201286
Pima,model_c_extended_transport,LightGBM,naive_transfer_vs_adaptive_calibration,13,21,0.22948101302608848
NHANES,model_c_extended_transport,CatBoost,naive_transfer_vs_adaptive_calibration,4,2,0.6875
Pima,model_c_extended_transport,CatBoost,naive_transfer_vs_adaptive_calibration,39,65,0.013836195066747879
